rev,phase,rotation_tick,track,sector,pos,sync_mark,gap_class,expected_gap_class,region,header_data_boundary,expected_boundary,track_sync_density_rows,gap_class_mismatch_rows,header_data_boundary_errors,alloc_count,blocks_free
1541,track_layout,406,19,2,2,0,1,1,1,0,0,38,0,0,18,646
1541,track_layout,412,19,2,3,0,1,1,1,0,0,38,0,0,19,645
1541,track_layout,417,19,2,4,0,1,1,2,1,1,38,0,0,19,645
1541,track_layout,422,19,2,5,0,1,1,2,0,0,38,0,0,19,645
1541,track_layout,428,19,2,6,0,2,2,3,0,0,38,0,0,19,645
1541,track_layout,433,19,2,7,0,2,2,3,0,0,38,0,0,19,645
1541,track_layout,439,19,3,0,1,0,0,1,0,0,39,0,0,19,645
1541,track_layout,444,19,3,1,1,0,0,1,0,0,40,0,0,19,645
1541,track_layout,449,19,3,2,0,1,1,1,0,0,40,0,0,19,645
1541,track_layout,455,19,3,3,0,1,1,1,0,0,40,0,0,20,644
1541,track_layout,460,19,3,4,0,1,1,2,1,1,40,0,0,20,644
1541,track_layout,465,19,3,5,0,1,1,2,0,0,40,0,0,20,644
1541,track_layout,471,19,3,6,0,2,2,3,0,0,40,0,0,20,644
1541,track_layout,476,19,3,7,0,2,2,3,0,0,40,0,0,20,644
1541,track_layout,482,19,4,0,1,0,0,1,0,0,41,0,0,20,644
1541,track_layout,487,19,4,1,1,0,0,1,0,0,42,0,0,20,644
1541,track_layout,492,19,4,2,0,1,1,1,0,0,42,0,0,20,644
1541,track_layout,498,19,4,3,0,1,1,1,0,0,42,0,0,21,643
1541,track_layout,503,19,4,4,0,1,1,2,1,1,42,0,0,21,643
1541,track_layout,508,19,4,5,0,1,1,2,0,0,42,0,0,21,643
1541,track_layout,514,19,4,6,0,2,2,3,0,0,42,0,0,21,643
1541,track_layout,519,19,4,7,0,2,2,3,0,0,42,0,0,21,643
1541,track_layout,525,19,5,0,1,0,0,1,0,0,43,0,0,21,643
1541,track_layout,530,19,5,1,1,0,0,1,0,0,44,0,0,21,643
1541,track_layout,535,19,5,2,0,1,1,1,0,0,44,0,0,21,643
1541,track_layout,541,19,5,3,0,1,1,1,0,0,44,0,0,22,642
1541,track_layout,546,19,5,4,0,1,1,2,1,1,44,0,0,22,642
1541,track_layout,551,19,5,5,0,1,1,2,0,0,44,0,0,22,642
1541,track_layout,557,19,5,6,0,2,2,3,0,0,44,0,0,22,642
1541,track_layout,562,19,5,7,0,2,2,3,0,0,44,0,0,22,642
1541,track_layout,568,19,6,0,1,0,0,1,0,0,45,0,0,22,642
1541,track_layout,573,19,6,1,1,0,0,1,0,0,46,0,0,22,642
1541,track_layout,578,19,6,2,0,1,1,1,0,0,46,0,0,22,642
1541,track_layout,584,19,6,3,0,1,1,1,0,0,46,0,0,23,641
1541,track_layout,589,19,6,4,0,1,1,2,1,1,46,0,0,23,641
1541,track_layout,594,19,6,5,0,1,1,2,0,0,46,0,0,23,641
1541,track_layout,600,19,6,6,0,2,2,3,0,0,46,0,0,23,641
1541,track_layout,605,19,6,7,0,2,2,3,0,0,46,0,0,23,641
1541,track_layout,611,19,7,0,1,0,0,1,0,0,47,0,0,23,641
1541,track_layout,616,19,7,1,1,0,0,1,0,0,48,0,0,23,641
