rev,phase,step,cycles,mode,atn_level,clk_level,data_level,atn_rise_ticks,atn_fall_ticks,clk_rise_ticks,clk_fall_ticks,data_rise_ticks,data_fall_ticks,polarity_glitch,turnaround_ticks,iec_state,pending_rx,pending_tx,rx_processed,tx_served,cpu_step_count,cadence_gap_max
1541II,analog,35,36,2,1000,360,340,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
1541II,analog,36,37,2,1000,540,510,0,0,4,1,0,2,1,0,3,0,70,4,1,10,5
1541II,analog,37,38,2,1000,40,0,0,0,4,1,0,2,1,0,3,0,70,4,1,10,5
1541II,analog,38,39,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,10,5
1541II,analog,39,40,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,10,5
1541II,analog,40,41,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,11,5
1541II,analog,41,42,2,1000,180,170,0,0,4,1,0,2,1,0,3,0,70,4,1,11,5
1541II,analog,42,43,2,1000,360,340,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
1541II,analog,43,44,2,550,0,510,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
1541II,analog,44,45,2,770,180,680,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
1541II,analog,45,46,2,990,360,160,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
1541II,analog,46,47,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
1541II,analog,47,48,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
1541II,analog,48,49,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,13,5
1541II,analog,49,50,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,13,5
1541II,analog,50,51,2,1000,180,170,0,0,4,1,0,2,1,0,3,0,70,4,1,14,5
1541II,analog,51,52,2,1000,360,0,0,0,4,1,0,2,1,0,3,0,70,4,1,14,5
1541II,analog,52,53,1,1000,540,170,0,0,4,1,0,2,0,0,2,0,70,5,1,14,5
1541II,analog,53,54,1,1000,40,340,0,0,4,1,0,2,0,0,2,0,70,5,1,14,5
