phase,cycle,pixel,op,bus_window,fetch,tick_actions,predicate_mask,fetch_plan,commit_plan,addr_formula0,addr_formula1
PHI1,21,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,21,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,21,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,22,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,22,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,22,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,22,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,22,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,22,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,22,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,22,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,23,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,23,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,23,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,23,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,23,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,23,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,23,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,23,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,24,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,24,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,24,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,24,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,24,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,24,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,24,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,24,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,25,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,25,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,25,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,25,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,25,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,25,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,25,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,25,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,26,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,26,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,26,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,26,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,26,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,26,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,26,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,26,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,27,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,27,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,27,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,27,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,27,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,27,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,27,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,27,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,28,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,28,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,28,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
